Date,Open,High,Low,Close,Adj_Close,Volume
Apr 8 2025,754.98,763.5,713.28,726.24,724.75,4115200
Apr 9 2025,704.4,754.83,689.0,753.71,752.17,6619000
Apr 10 2025,738.9,741.95,691.77,720.91,719.44,4182700
Apr 11 2025,722.89,735.84,711.98,732.41,730.91,3603400
Apr 14 2025,750.45,759.56,734.52,754.35,752.81,3461200
Apr 15 2025,755.57,765.31,751.49,757.18,755.63,2458100
Apr 16 2025,755.64,756.3,730.34,734.9,733.4,3302600
Apr 17 2025,840.8,858.0,821.84,839.96,838.24,10846400
Apr 21 2025,841.51,843.91,807.0,818.02,816.35,3326600
Apr 22 2025,821.88,832.0,814.0,827.54,825.85,3086500
Apr 23 2025,836.96,846.01,818.64,829.42,827.72,2714600
Apr 24 2025,836.0,862.25,829.21,859.73,857.97,2939500
Apr 25 2025,859.66,885.58,851.07,884.54,882.73,3398900
Apr 28 2025,870.44,882.25,864.41,877.29,875.5,3457600
Apr 29 2025,877.7,892.47,874.03,885.2,883.39,2454400
Apr 30 2025,888.2,902.5,882.12,898.95,897.11,4374100
May 1 2025,844.0,850.93,792.07,794.1,792.48,12601100
May 2 2025,825.12,831.53,807.59,823.62,821.94,6059400
May 5 2025,817.0,829.64,812.03,821.46,819.78,2889600
May 6 2025,816.89,818.42,770.35,775.12,773.53,5982000
May 7 2025,780.5,784.34,772.26,776.72,775.13,3807800
May 8 2025,765.0,769.98,739.08,751.45,749.91,6162000
May 9 2025,752.01,762.01,733.0,734.57,733.07,4072600
May 12 2025,727.87,765.33,722.18,755.57,754.02,9176100
May 13 2025,755.55,759.5,740.85,746.06,744.53,4523900
May 14 2025,749.24,759.5,714.03,715.56,714.1,7558500
May 15 2025,725.7,738.68,712.21,733.29,731.79,5212900
May 16 2025,740.0,758.87,738.0,757.39,757.39,4645100
May 19 2025,753.0,758.72,747.56,755.11,755.11,4062700
May 20 2025,756.0,763.5,743.0,747.01,747.01,3873500
May 21 2025,747.05,750.52,723.97,724.95,724.95,4060000
May 22 2025,717.1,722.19,711.55,715.2,715.2,4249900
May 23 2025,710.0,719.64,709.0,713.71,713.71,2635700
May 27 2025,717.03,731.31,714.33,725.22,725.22,3792700
May 28 2025,725.22,729.99,714.74,719.39,719.39,2948800
May 29 2025,719.23,727.33,716.96,722.57,722.57,2785500
May 30 2025,725.0,745.9,717.11,737.67,737.67,6106200
Jun 2 2025,732.5,747.37,730.7,747.12,747.12,2942100
Jun 3 2025,746.25,756.55,741.52,753.51,753.51,1664814
